timestamp,elapsed_s,x_g,y_g,z_g,dx,dy,dz,l2_norm
2026-04-08T16:29:11.936,210.316,-1.000,-0.006,0.123,-0.0070,-0.0020,-0.0010,0.000054
2026-04-08T16:29:11.990,210.369,-1.000,-0.006,0.120,0.0000,0.0000,-0.0030,0.000009
2026-04-08T16:29:12.043,210.422,-0.999,-0.008,0.123,0.0010,-0.0020,0.0030,0.000014
2026-04-08T16:29:12.096,210.476,-1.000,-0.006,0.117,-0.0010,0.0020,-0.0060,0.000041
2026-04-08T16:29:12.149,210.529,-0.997,-0.005,0.121,0.0030,0.0010,0.0040,0.000026
2026-04-08T16:29:12.203,210.582,-0.994,0.000,0.124,0.0030,0.0050,0.0030,0.000043
2026-04-08T16:29:12.256,210.635,-0.997,-0.005,0.124,-0.0030,-0.0050,0.0000,0.000034
2026-04-08T16:29:12.309,210.689,-0.999,-0.008,0.124,-0.0020,-0.0030,0.0000,0.000013
2026-04-08T16:29:12.362,210.742,-0.998,-0.005,0.129,0.0010,0.0030,0.0050,0.000035
2026-04-08T16:29:12.416,210.795,-1.000,-0.008,0.126,-0.0020,-0.0030,-0.0030,0.000022
2026-04-08T16:29:12.469,210.848,-1.003,-0.005,0.127,-0.0030,0.0030,0.0010,0.000019
2026-04-08T16:29:12.526,210.906,-0.996,-0.006,0.124,0.0070,-0.0010,-0.0030,0.000059
2026-04-08T16:29:12.579,210.959,-0.997,-0.006,0.120,-0.0010,0.0000,-0.0040,0.000017
2026-04-08T16:29:12.629,211.008,-0.998,0.003,0.124,-0.0010,0.0090,0.0040,0.000098
2026-04-08T16:29:12.686,211.065,-0.994,-0.010,0.121,0.0040,-0.0130,-0.0030,0.000194
2026-04-08T16:29:12.739,211.119,-0.997,-0.010,0.123,-0.0030,0.0000,0.0020,0.000013
2026-04-08T16:29:12.792,211.172,-0.993,-0.005,0.126,0.0040,0.0050,0.0030,0.000050
2026-04-08T16:29:12.846,211.225,-0.992,-0.006,0.124,0.0010,-0.0010,-0.0020,0.000006
2026-04-08T16:29:12.899,211.278,-0.994,-0.007,0.127,-0.0020,-0.0010,0.0030,0.000014
2026-04-08T16:29:12.952,211.332,-0.996,-0.006,0.128,-0.0020,0.0010,0.0010,0.000006
2026-04-08T16:29:13.005,211.385,-0.999,-0.006,0.120,-0.0030,0.0000,-0.0080,0.000073
2026-04-08T16:29:13.059,211.438,-0.996,-0.006,0.125,0.0030,0.0000,0.0050,0.000034
2026-04-08T16:29:13.112,211.491,-0.995,-0.006,0.126,0.0010,0.0000,0.0010,0.000002
2026-04-08T16:29:13.165,211.545,-0.993,-0.010,0.122,0.0020,-0.0040,-0.0040,0.000036
2026-04-08T16:29:13.218,211.598,-0.998,-0.005,0.119,-0.0050,0.0050,-0.0030,0.000059
2026-04-08T16:29:13.272,211.651,-0.995,-0.004,0.122,0.0030,0.0010,0.0030,0.000019
2026-04-08T16:29:13.329,211.708,-0.999,-0.005,0.123,-0.0040,-0.0010,0.0010,0.000018
2026-04-08T16:29:13.382,211.762,-1.000,-0.007,0.126,-0.0010,-0.0020,0.0030,0.000014
2026-04-08T16:29:13.435,211.815,-0.993,-0.002,0.124,0.0070,0.0050,-0.0020,0.000078
2026-04-08T16:29:13.489,211.868,-1.001,-0.004,0.124,-0.0080,-0.0020,0.0000,0.000068
2026-04-08T16:29:13.542,211.921,-0.996,-0.015,0.125,0.0050,-0.0110,0.0010,0.000147
2026-04-08T16:29:13.595,211.975,-0.993,-0.006,0.122,0.0030,0.0090,-0.0030,0.000099
2026-04-08T16:29:13.648,212.028,-0.992,-0.003,0.118,0.0010,0.0030,-0.0040,0.000026
2026-04-08T16:29:13.702,212.081,-0.996,-0.005,0.118,-0.0040,-0.0020,0.0000,0.000020
2026-04-08T16:29:13.755,212.134,-0.997,-0.008,0.123,-0.0010,-0.0030,0.0050,0.000035
2026-04-08T16:29:13.808,212.188,-0.997,-0.010,0.118,0.0000,-0.0020,-0.0050,0.000029
2026-04-08T16:29:13.861,212.241,-0.992,-0.005,0.124,0.0050,0.0050,0.0060,0.000086
2026-04-08T16:29:13.915,212.294,-0.993,-0.005,0.124,-0.0010,0.0000,0.0000,0.000001
2026-04-08T16:29:13.968,212.347,-0.996,-0.007,0.125,-0.0030,-0.0020,0.0010,0.000014
2026-04-08T16:29:14.021,212.401,-0.992,-0.009,0.125,0.0040,-0.0020,0.0000,0.000020
2026-04-08T16:29:14.074,212.454,-0.995,0.000,0.131,-0.0030,0.0090,0.0060,0.000126
2026-04-08T16:29:14.132,212.511,-0.992,-0.006,0.122,0.0030,-0.0060,-0.0090,0.000126
2026-04-08T16:29:14.185,212.564,-1.002,-0.009,0.127,-0.0100,-0.0030,0.0050,0.000134
2026-04-08T16:29:14.238,212.618,-0.999,-0.003,0.121,0.0030,0.0060,-0.0060,0.000081
2026-04-08T16:29:14.291,212.671,-0.998,-0.007,0.120,0.0010,-0.0040,-0.0010,0.000018
2026-04-08T16:29:14.345,212.724,-0.999,-0.006,0.130,-0.0010,0.0010,0.0100,0.000102
2026-04-08T16:29:14.398,212.777,-0.997,-0.007,0.126,0.0020,-0.0010,-0.0040,0.000021
2026-04-08T16:29:14.451,212.831,-0.993,-0.011,0.122,0.0040,-0.0040,-0.0040,0.000048
2026-04-08T16:29:14.504,212.884,-0.992,-0.007,0.122,0.0010,0.0040,0.0000,0.000017
2026-04-08T16:29:14.558,212.937,-0.997,-0.004,0.122,-0.0050,0.0030,0.0000,0.000034
2026-04-08T16:29:14.611,212.990,-0.992,-0.005,0.120,0.0050,-0.0010,-0.0020,0.000030
2026-04-08T16:29:14.664,213.044,-0.992,-0.013,0.121,0.0000,-0.0080,0.0010,0.000065
2026-04-08T16:29:14.717,213.097,-0.994,-0.002,0.130,-0.0020,0.0110,0.0090,0.000206
2026-04-08T16:29:14.771,213.150,-1.003,-0.003,0.110,-0.0090,-0.0010,-0.0200,0.000482
2026-04-08T16:29:14.828,213.207,-1.023,-0.001,0.129,-0.0200,0.0020,0.0190,0.000765
2026-04-08T16:29:14.877,213.257,-0.989,0.002,0.121,0.0340,0.0030,-0.0080,0.001229
2026-04-08T16:29:14.934,213.314,-0.999,-0.011,0.120,-0.0100,-0.0130,-0.0010,0.000270
2026-04-08T16:29:14.988,213.367,-1.001,-0.005,0.117,-0.0020,0.0060,-0.0030,0.000049
2026-04-08T16:29:15.041,213.420,-0.993,-0.010,0.127,0.0080,-0.0050,0.0100,0.000189
2026-04-08T16:29:15.094,213.474,-0.997,-0.005,0.124,-0.0040,0.0050,-0.0030,0.000050
2026-04-08T16:29:15.147,213.527,-0.997,-0.002,0.126,0.0000,0.0030,0.0020,0.000013
2026-04-08T16:29:15.201,213.580,-0.995,-0.002,0.125,0.0020,0.0000,-0.0010,0.000005
2026-04-08T16:29:15.254,213.633,-0.996,-0.008,0.118,-0.0010,-0.0060,-0.0070,0.000086
2026-04-08T16:29:15.307,213.687,-0.994,-0.007,0.118,0.0020,0.0010,0.0000,0.000005
