elapsed_s,x_g,y_g,z_g,writing,word,newline
3.5227,0.1830,0.9290,0.5540,1,quick,0
3.5432,0.2260,0.8230,0.4490,1,quick,0
3.5637,0.1850,0.9320,0.4800,1,quick,0
3.5842,0.0860,0.9120,0.5520,1,quick,0
3.6046,-0.0560,0.8760,0.4060,1,quick,0
3.6252,0.2160,0.7100,0.3290,1,quick,0
3.6416,0.2170,0.6940,0.2120,1,quick,0
3.6620,0.1240,0.8740,0.2430,1,quick,0
3.6825,0.2050,0.9040,0.3950,1,quick,0
3.7030,0.3000,0.9100,0.3540,1,quick,0
3.7234,0.2330,0.9050,0.3460,1,quick,0
3.7438,0.0560,0.9300,0.5240,1,quick,0
3.7643,-0.1450,0.9130,0.4210,1,quick,0
3.7807,0.1880,0.7810,0.4580,1,quick,0
3.8014,0.3320,0.7520,0.4990,1,quick,0
3.8216,0.3470,0.7280,0.5210,1,quick,0
3.8422,0.2530,0.7740,0.3080,1,quick,0
3.8628,0.1220,0.9020,0.2930,1,quick,0
3.8831,0.1820,0.9150,0.4010,1,quick,0
3.8995,0.1770,0.8860,0.4890,1,quick,0
3.9201,0.1780,0.8730,0.6280,1,quick,0
3.9405,0.2520,0.8110,0.3420,1,quick,0
3.9610,-0.1060,0.9420,0.7230,1,quick,0
3.9814,0.1030,0.8900,0.4470,1,quick,0
4.0019,0.2530,0.9340,0.6060,1,quick,0
4.0234,0.2570,0.8850,0.4870,1,quick,0
4.0388,0.2710,0.9030,0.3300,1,quick,0
4.0593,0.3100,0.8720,0.5180,1,quick,0
4.0797,0.4120,0.8910,0.4380,1,quick,0
4.1002,0.2760,0.9010,0.5970,1,quick,0
4.1207,0.3340,0.9110,0.5650,1,quick,0
4.1412,0.1010,0.9280,0.5220,1,quick,0
4.1575,0.1280,0.9220,0.4800,1,quick,0
4.1780,0.0320,0.9490,0.3770,1,quick,0
4.1985,0.2600,0.8480,0.4380,1,quick,0
4.2190,0.3180,0.8080,0.4460,1,quick,0
4.2394,0.3290,0.7560,0.5260,1,quick,0
4.2613,0.0380,0.9930,0.5220,1,quick,0
4.2764,0.0820,0.9050,0.3560,1,quick,0
4.2968,0.1660,0.9240,0.4050,1,quick,0
4.3174,0.1720,0.9010,0.5290,1,quick,0
4.3378,0.1510,0.8590,0.5320,1,quick,0
4.3583,0.3550,0.9370,0.3970,1,quick,0
4.3787,0.1450,0.9100,0.5890,1,quick,0
4.3951,0.3290,0.9840,0.4630,1,quick,0
4.4156,0.2380,0.9380,0.3680,1,quick,0
4.4362,0.2370,1.0320,0.4410,1,quick,0
4.4567,0.2550,0.9970,0.4350,1,quick,0
4.4770,0.2990,0.7680,0.5040,1,quick,0
4.4935,0.4400,0.7070,0.4900,1,quick,0
4.5139,0.4240,0.8950,0.3450,1,quick,0
4.5345,0.2130,0.9250,0.4300,1,quick,0
4.5548,0.1710,0.9110,0.3630,1,quick,0
