elapsed_s,x_g,y_g,z_g,writing,word,newline
5.0848,0.311,0.822,0.103,1,fox,0
5.1052,0.425,0.913,0.218,1,fox,0
5.1258,0.37,0.818,0.132,1,fox,0
5.1422,0.42,0.849,0.339,1,fox,0
5.1627,0.535,0.697,0.346,1,fox,0
5.1832,0.567,0.712,0.275,1,fox,0
5.2036,0.531,0.804,-0.051,1,fox,0
5.2241,0.384,1.014,0.169,1,fox,0
5.2471,0.26,1.042,0.348,1,fox,0
5.265,0.331,0.943,0.026,1,fox,0
5.2814,0.33,0.896,0.187,1,fox,0
5.3019,0.423,0.976,0.193,1,fox,0
5.3237,0.342,0.93,0.212,1,fox,0
5.3428,0.554,0.69,0.24,1,fox,0
5.3633,0.612,0.724,0.288,1,fox,0
5.3809,0.435,1.114,0.421,1,fox,0
5.4002,0.23,0.965,0.214,1,fox,0
5.4207,0.288,0.982,0.312,1,fox,0
5.4413,0.232,0.981,0.26,1,fox,0
5.4621,0.379,0.894,0.026,1,fox,0
5.4821,0.473,0.917,0.1,1,fox,0
5.4985,0.566,0.853,0.3,1,fox,0
5.519,0.41,0.913,0.39,1,fox,0
5.5395,0.335,0.862,0.25,1,fox,0
5.56,0.296,0.929,0.566,1,fox,0
5.5804,0.202,1.145,0.428,1,fox,0
5.6008,0.304,1.013,0.332,1,fox,0
5.6172,0.372,1.049,0.168,1,fox,0
5.6378,0.369,0.91,0.124,1,fox,0
5.6582,0.512,0.815,0.149,1,fox,0
5.6787,0.574,0.769,0.197,1,fox,0
5.6992,0.617,0.762,0.143,1,fox,0
5.7197,0.357,0.952,0.143,1,fox,0
5.736,0.33,0.96,0.172,1,fox,0
5.7565,0.426,0.961,0.197,1,fox,0
5.777,0.239,0.953,0.125,1,fox,0
5.7975,0.368,0.945,0.127,1,fox,0
5.8179,0.366,0.977,0.177,1,fox,0
5.8344,0.316,0.979,0.173,1,fox,0
5.8548,0.607,0.872,0.089,1,fox,0
5.8753,0.448,0.852,0.209,1,fox,0
5.8958,0.523,0.764,0.2,1,fox,0
5.9163,0.582,0.719,0.222,1,fox,0
5.9367,0.255,1.166,0.569,1,fox,0
5.9531,0.095,0.966,0.266,1,fox,0
5.9736,0.295,0.96,0.272,1,fox,0
5.9941,0.388,0.927,-0.557,1,fox,0
6.0145,0.501,0.926,0.104,1,fox,0
6.035,0.51,0.875,0.097,1,fox,0
6.0555,0.396,0.948,0.241,1,fox,0
6.076,0.407,0.94,0.024,1,fox,0
6.0925,0.388,0.953,0.057,1,fox,0
6.1129,0.396,1.021,0.268,1,fox,0
6.1334,0.047,1.231,0.232,1,fox,0
6.1538,0.14,1.13,0.214,1,fox,0
6.1743,0.188,1.013,0.158,1,fox,0
6.1948,0.671,0.625,0.053,1,fox,0
