elapsed_s,x_g,y_g,z_g
6.5570,0.0980,0.9200,0.5110
6.5775,0.0270,0.8600,0.4850
6.5980,0.0660,0.8370,0.5830
6.6184,0.1520,0.8470,0.3610
6.6389,0.0550,0.8960,0.3340
6.6553,0.0350,0.9120,0.3930
6.6758,-0.0490,0.8930,0.5210
6.6963,0.4060,0.9680,0.4480
6.7167,0.1030,0.9540,0.4100
6.7373,-0.0410,0.9620,0.3850
6.7577,0.0850,1.0250,0.4990
6.7782,0.2180,1.1280,0.2220
6.7986,0.0040,1.0800,0.2170
6.8150,0.0690,1.0520,0.4390
6.8355,0.0990,0.9110,0.5110
6.8560,0.0610,0.7980,0.5630
6.8764,0.0260,0.8060,0.5830
6.8969,0.0630,0.9040,0.5070
6.9174,0.0640,0.9140,0.7030
6.9338,0.0970,0.6140,0.8170
6.9544,0.2570,0.5080,0.8480
6.9748,0.0950,0.6390,0.6130
6.9952,-0.0070,0.9060,0.3310
7.0157,-0.0590,0.7030,0.5360
7.0363,0.1440,0.6550,0.5770
7.0566,0.0140,0.6940,0.6930
7.0772,0.1310,0.5600,0.6590
7.0976,0.1370,0.8230,0.5390
7.1151,0.0360,0.9350,0.7710
7.1345,0.0720,1.3210,0.3170
7.1550,-0.0210,0.9850,0.3290
7.1754,-0.0010,0.8040,0.5200
7.1959,0.1050,0.8870,0.6240
7.2164,0.0280,0.7950,0.4780
7.2369,0.1740,1.0520,0.4040
7.2573,0.0080,0.8920,0.4260
7.2751,0.0460,0.8530,0.5190
7.2942,0.0610,0.8710,0.5190
7.3147,0.0070,0.9360,0.4340
7.3352,0.0440,0.9970,0.4320
7.3557,0.0160,0.8100,0.5450
7.3762,0.0630,0.8060,0.5530
7.3925,0.0440,0.9480,0.4170
7.4130,-0.1020,0.9630,0.4040
7.4335,0.0450,0.9770,0.4530
7.4540,0.0580,0.8490,0.4600
7.4744,0.0570,0.9980,0.3840
7.4949,0.0060,0.9410,0.4410
7.5154,0.0030,0.8470,0.5620
7.5318,0.0420,0.7870,0.5810
7.5524,0.0780,0.9120,0.4440
7.5727,-0.0120,0.8900,0.4950
7.5933,-0.0150,0.8370,0.5270
7.6137,0.0400,0.8500,0.4050
7.6342,-0.0130,1.0360,0.4050
7.6547,0.0650,0.9140,0.5040
7.6752,0.1010,0.9190,0.4010
7.6956,-0.1120,0.8980,0.4780
7.7161,-0.2570,0.9290,0.5310
7.7366,0.1440,0.9400,0.4590
7.7570,-0.0220,0.9270,0.4390
7.7775,0.1020,0.9300,0.4270
7.7980,0.0930,0.9040,0.5110
7.8184,-0.0470,0.9070,0.4410
7.8390,-0.0800,0.9500,0.4720
7.8594,0.0320,0.9530,0.4070
7.8799,-0.0690,0.8920,0.4180
7.9004,-0.0360,0.9130,0.4710
7.9209,0.0230,0.8930,0.4890
7.9373,0.0560,0.9030,0.4100
7.9577,0.1760,0.8580,0.6230
7.9782,0.1810,0.9100,0.4050
7.9987,0.1710,0.9630,0.4370
8.0192,0.0640,0.9460,0.4430
8.0396,-0.0110,0.9550,0.3300
8.0602,-0.1100,0.9210,0.5470
8.0806,0.0740,0.8880,0.5380
8.1011,0.0590,0.8970,0.4400
8.1216,-0.0750,0.9170,0.4050
8.1421,-0.0130,0.9000,0.4040
8.1625,0.2850,0.9780,0.4050
8.1789,0.0850,0.9650,0.3340
8.1994,0.2840,1.0870,0.3980
8.2201,-0.0450,1.0150,0.7440
8.2403,0.1620,0.7210,0.6070
8.2608,0.0750,0.8120,0.5470
8.2813,0.0210,0.8650,0.4660
8.3019,0.0450,1.0590,0.3500
8.3224,-0.1650,0.9250,0.4100
8.3427,-0.1790,0.9010,0.3870
8.3632,0.0080,0.9090,0.5450
8.3797,0.1060,0.9590,0.4090
8.4001,0.0120,0.9310,0.3800
8.4207,0.2250,0.9650,0.4690
8.4410,-0.1170,0.9180,0.4830
8.4616,-0.0880,0.9390,0.3930
8.4820,-0.1070,0.9910,0.3770
8.5026,-0.0670,0.8950,0.5200
8.5231,0.0230,0.9030,0.4630
8.5435,-0.1040,0.9070,0.4330
8.5640,-0.2010,0.9250,0.3390
8.5844,-0.3040,1.0270,0.4320
8.6050,0.0360,0.9670,0.3880
8.6254,0.0310,0.9920,0.3970
8.6459,-0.0460,1.0530,0.3170
8.6663,0.0230,0.9520,0.3100
8.6868,0.1240,0.7900,0.5510
8.7073,0.0610,0.8530,0.4770
8.7237,0.0190,0.9290,0.3710
8.7482,-0.0100,0.9750,0.4020
8.7686,-0.0440,0.9310,0.3450
8.7851,0.0810,0.9170,0.5170
8.8056,0.0990,0.9000,0.2990
8.8261,-0.1370,1.0010,0.3150
8.8465,-0.2560,1.0140,0.4120
8.8711,-0.0940,0.9660,0.4670
8.8875,0.0810,1.0000,0.2930
8.9079,-0.0490,0.9290,0.2900
8.9284,0.0290,0.9110,0.4400
8.9489,0.0610,0.6250,0.7500
8.9694,0.1790,0.8260,0.4180
8.9899,-0.0830,1.2840,0.1340
9.0104,-0.0920,0.9860,0.3980
9.0330,-0.0490,0.9360,0.4960
9.0513,-0.0640,0.9990,0.3000
9.0718,0.0640,0.9530,0.3920
9.0923,0.0120,0.9760,0.3090
9.1129,0.0680,0.9310,0.3540
9.1332,-0.0590,0.8690,0.4470
9.1537,0.0150,0.9100,0.4260
9.1742,-0.0410,0.9520,0.3680
9.1947,-0.1460,0.9380,0.4380
9.2152,0.1330,0.9050,0.4030
9.2317,0.0970,0.9190,0.4580
9.2520,0.1940,0.9720,0.2930
9.2725,0.1980,0.9990,0.2860
9.2930,0.1060,0.9380,0.3610
9.3135,-0.0930,0.9810,0.3420
9.3340,-0.0350,1.0740,0.4890
9.3544,0.2290,0.9380,0.4910
9.3749,0.0570,0.7600,0.5770
9.3913,0.0500,0.8740,0.4220
9.4119,0.1360,1.0240,0.3170
9.4323,0.1360,0.9890,0.3120
9.4528,0.2010,0.9710,0.3600
9.4734,0.1530,0.9880,0.3290
9.4937,0.0080,0.9650,0.3280
9.5143,-0.0170,0.9350,0.3940
9.5346,0.0610,0.9170,0.4360
9.5551,-0.0080,0.9350,0.3540
9.5715,0.0440,0.9630,0.3490
9.5919,0.1200,0.9390,0.4080
9.6125,0.1510,0.9650,0.3390
9.6329,0.0860,0.9910,0.3050
9.6535,0.1370,0.9850,0.2370
9.6739,0.1450,0.8660,0.5550
9.6903,0.0900,0.9210,0.3970
9.7108,0.0840,0.9530,0.3260
9.7313,0.0450,0.9540,0.3990
9.7517,-0.0340,0.9690,0.5380
9.7722,0.5480,0.9820,0.4570
9.7927,0.3900,0.9540,0.3530
9.8131,0.1650,0.9590,0.3430
9.8295,0.1600,0.9970,0.1660
9.8500,0.0490,1.0160,0.2770
9.8705,-0.0200,0.9320,0.3490
9.8910,-0.1360,0.9930,0.2840
9.9115,-0.0270,1.0450,0.2000
9.9319,0.0090,1.2510,0.0740
9.9525,-0.0520,1.0440,0.2860
9.9729,0.1440,1.0760,0.2890
9.9934,0.1080,1.0830,0.2870
10.0138,0.1260,0.9710,0.3930
10.0343,0.1340,0.7280,0.6440
10.0548,0.3550,0.5080,0.9430
10.0713,0.2830,0.3470,1.0340
10.0916,0.4540,0.2850,0.7780
10.1121,0.0590,0.5660,0.4630
10.1327,0.1480,0.6970,0.5430
10.1533,0.2670,0.8950,0.4320
10.1695,0.1380,0.8670,0.6020
10.1940,-0.1500,0.8580,0.8840
10.2106,0.0840,0.8980,0.7490
10.2309,0.1110,0.8850,0.4680
10.2514,-0.0400,0.8260,0.4260
10.2721,-0.0200,0.7900,0.6360
10.2924,0.0870,0.8110,0.5560
10.3129,0.2450,1.0650,0.4070
10.3333,0.0870,0.9930,0.4070
10.3538,-0.0080,0.7530,0.6020
10.3743,0.0340,0.6380,0.7300
10.3952,0.0520,1.0860,0.1800
10.4113,0.0460,1.1720,0.3990
10.4317,0.0530,0.8420,0.5110
10.4521,0.0640,0.8300,0.5560
10.4726,0.0700,0.9060,0.5180
10.4930,0.0650,0.8550,0.5000
10.5094,0.0470,0.9130,0.4600
10.5299,0.0060,0.9050,0.4360
10.5504,0.0100,0.9480,0.4380
10.5709,0.0910,0.9280,0.4830
10.5914,0.0260,0.8390,0.4790
10.6118,0.0310,0.9200,0.4900
10.6324,-0.0570,0.8520,0.5120
10.6530,0.0330,0.9300,0.4850
10.6693,0.0260,0.7870,0.5820
10.6897,0.0730,0.9740,0.3410
10.7101,-0.0990,0.9030,0.3200
10.7306,0.0200,0.9300,0.4230
10.7511,0.0270,0.9330,0.5820
10.7716,0.1240,0.8930,0.5510
10.7920,0.2150,0.8920,0.3640
10.8125,-0.4750,0.9290,0.3160
10.8330,-0.1050,0.9290,0.4810
10.8535,0.0520,0.9150,0.4820
10.8739,-0.0030,0.9420,0.4280
10.8944,-0.0770,0.9520,0.3490
10.9149,-0.0990,0.9640,0.3370
10.9354,0.2530,0.8840,0.4650
10.9518,0.0720,0.9040,0.4780
10.9723,0.0960,0.8770,0.3380
10.9928,-0.0910,0.9430,0.4720
11.0132,-0.0970,0.7170,0.5980
11.0337,-0.0770,0.8210,0.4830
11.0583,-0.1830,0.9330,0.3120
11.0746,0.0570,0.9940,0.3910
11.0951,0.0890,0.9890,0.3960
11.1157,0.0450,0.8890,0.5300
11.1361,0.0150,0.9300,0.4670
11.1566,0.0570,0.7790,0.5530
11.1770,0.0910,0.8510,0.5210
11.1934,0.0270,0.9550,0.3380
11.2139,0.0120,0.9290,0.3790
11.2344,-0.0520,0.9520,0.4850
11.2549,-0.1050,0.9890,0.3730
11.2753,-0.0810,0.9540,0.3960
11.2959,0.0100,0.9530,0.4990
11.3163,-0.0250,0.9710,0.3270
11.3368,0.1580,0.9620,0.5190
11.3573,0.3750,0.8480,0.4750
11.3779,0.0560,0.9360,0.3460
11.3983,0.0050,0.9790,0.3150
11.4187,-0.0770,0.9770,0.4370
11.4393,-0.1390,0.9400,0.3250
11.4596,-0.1590,1.0320,0.3210
11.4802,0.0300,0.8550,0.5530
11.5006,0.1010,0.7240,0.6580
11.5170,0.2370,1.2740,0.2920
11.5375,-0.0270,0.9910,0.3450
11.5579,0.0410,0.9400,0.4620
11.5784,0.0870,0.9640,0.4090
11.5989,0.1030,1.0040,0.2550
11.6194,-0.0160,0.9790,0.3400
11.6399,0.0660,0.9170,0.3950
11.6603,-0.2320,0.9110,0.5370
11.6809,0.1520,0.9160,0.4360
11.7013,0.0940,1.0230,0.2130
11.7220,-0.1520,1.0590,0.3430
11.7423,-0.1030,0.7690,0.5560
11.7628,-0.0140,0.7900,0.5910
11.7832,-0.0300,1.1940,0.3300
11.8037,0.1120,1.0180,0.3920
11.8202,0.1470,0.9510,0.3750
11.8447,-0.1020,0.9510,0.3920
11.8652,-0.2460,0.9490,0.1460
11.8856,-0.8020,1.0400,0.6750
11.9061,0.3460,0.9390,0.2610
11.9227,0.0240,0.9350,0.3250
11.9430,0.1030,0.9510,0.2910
11.9635,0.0900,0.9720,0.3260
11.9840,0.0850,1.1560,0.1360
12.0044,-0.4760,1.3940,-0.1460
12.0249,-0.1880,1.1880,0.2480
12.0454,0.0380,0.8730,0.5950
12.0658,0.2420,0.4380,0.9010
12.0864,0.2290,0.5210,0.8150
12.1069,0.1310,0.7130,0.6610
12.1232,0.1340,0.6780,0.4900
12.1436,0.1750,0.7290,0.6190
12.1641,0.2870,0.7400,0.4540
12.1846,0.0110,1.3480,0.0990
12.2071,0.0560,1.0350,0.6040
12.2255,0.1030,0.5210,0.9580
12.2421,0.2970,0.3720,0.8860
12.2661,0.0490,0.7740,0.1980
12.2829,-0.0820,1.3470,0.5010
12.3037,-0.0120,0.8940,0.4240
12.3239,0.1530,0.7750,0.4620
12.3444,0.1290,0.9410,0.2120
12.3648,0.0850,1.1430,0.3830
12.3853,0.1250,0.8200,0.6680
12.4017,0.1320,0.7010,0.6480
12.4222,0.0780,0.8900,0.4360
12.4428,-0.0160,1.0180,0.2370
12.4631,-0.0380,1.0540,0.3020
12.4881,-0.0290,0.7940,0.6030
12.5041,0.1190,0.7710,0.6350
12.5246,0.0960,0.8620,0.4760
12.5451,0.0800,1.0600,0.2780
12.5655,-0.0920,0.9740,0.3400
12.5860,-0.0320,0.9210,0.5300
12.6065,0.0320,0.8210,0.5540
12.6270,0.1460,0.9620,0.4750
12.6474,0.0560,0.8760,0.5130
12.6679,-0.0490,0.8100,0.5970
12.6884,0.1020,0.8220,0.4260
12.7089,-0.0160,0.8840,0.2760
12.7254,0.0430,0.9660,0.4190
12.7458,0.0460,0.9240,0.4560
12.7663,-0.0380,0.9370,0.4450
12.7868,-0.0110,0.9850,0.5370
12.8071,0.0090,1.0520,0.0090
12.8277,0.0740,0.9490,0.5200
12.8482,0.2140,0.8670,0.5070
12.8686,0.0400,0.9420,0.3160
12.8891,-0.0730,0.8690,0.5020
12.9096,-0.1040,0.7650,0.5750
12.9301,0.0240,1.0160,0.3370
12.9505,-0.0550,0.9930,0.3340
12.9711,-0.0170,0.9470,0.3870
12.9915,-0.5440,0.9290,0.3320
13.0119,0.5060,0.9430,0.5320
13.0325,0.1660,0.9090,0.4630
13.0488,0.1800,0.9130,0.4340
13.0693,0.1100,0.9320,0.4220
13.0900,-0.0180,0.9380,0.3430
13.1103,-0.1410,0.9990,0.4380
13.1307,-0.0940,0.9440,0.4960
13.1514,0.0090,0.8900,0.5070
13.1744,0.0600,0.9220,0.4590
13.1922,0.0360,0.8190,0.5690
13.2127,0.1030,0.9620,0.4640
13.2334,-0.0630,0.9540,0.3900
13.2536,0.0100,0.9360,0.4310
13.2741,-0.0590,0.9460,0.3920
13.2946,0.2390,0.9820,0.4490
13.3110,0.0060,0.9380,0.4250
13.3315,0.0830,0.9620,0.3170
13.3521,-0.0560,0.9490,0.4020
13.3725,0.1530,0.9310,0.3560
13.3929,0.1720,0.9230,0.4790
13.4134,-0.0070,0.9700,0.3790
13.4338,-0.0800,1.0600,0.3650
13.4544,-0.0400,0.7770,0.5910
13.4748,0.0130,0.7180,0.6260
13.4953,0.0630,0.9740,-0.0630
13.5159,-0.2440,0.9980,0.2550
13.5363,-0.0480,0.9870,0.4140
13.5567,0.3170,0.9310,0.3490
13.5772,0.5350,0.9460,0.3300
13.5977,0.0330,0.9450,0.2840
13.6182,-0.0220,0.9570,0.3760
13.6386,-0.0840,0.9320,0.4880
13.6591,-0.1410,0.9250,0.2880
13.6797,-0.1230,0.9530,0.3600
13.7001,0.0350,0.9430,0.4160
13.7206,0.2640,0.9520,0.3940
13.7410,0.2340,0.9250,0.4550
13.7574,0.1020,0.9300,0.3550
13.7781,-0.0440,0.9560,0.3490
